@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {2befe3dcb10c2ad0,Others}

@data
1,0.014902,4,3.6,116,0,65.47493,1,2,2befe3dcb10c2ad0
1,0.016667,4.5,4,91,129,12.047632,1,2,2befe3dcb10c2ad0
1,0.017647,5,4,111,206,4.830149,1,2,2befe3dcb10c2ad0
1,0.017157,5.25,3.5,100,40,50.956184,1,2,2befe3dcb10c2ad0
1,0.016863,4.6,4,89,113,25.13417,1,2,2befe3dcb10c2ad0
1,0.017647,4.75,4.25,123,64,139.89084,1,2,2befe3dcb10c2ad0
1,0.018301,5,4.333334,95,82,78.55867,1,2,2befe3dcb10c2ad0
1,0.017647,4.5,4.5,27,206,78.24597,1,2,2befe3dcb10c2ad0
1,0.016667,4.5,4,113,0,2.645741,1,1,2befe3dcb10c2ad0
1,0.018039,4.8,4.4,92,39,28.447544,1,1,2befe3dcb10c2ad0
1,0.017157,4.5,4.25,112,155,25.330906,1,1,2befe3dcb10c2ad0
1,0.016667,4.5,4,81,165,64.97969,1,1,2befe3dcb10c2ad0
1,0.017255,4.6,4.2,74,120,108.22261,1,1,2befe3dcb10c2ad0
1,0.016993,4.666666,4,83,81,25.480827,1,1,2befe3dcb10c2ad0
1,0.014902,3.8,3.8,104,79,42.981827,1,1,2befe3dcb10c2ad0
1,0.017647,4.75,4.25,119,0,23.659084,1,1,2befe3dcb10c2ad0
1,0.016993,4.5,4.166666,102,123,11.712809,1,1,2befe3dcb10c2ad0
1,0.01634,4.666666,3.666667,95,42,48.58664,1,1,2befe3dcb10c2ad0
1,0.01634,4.666666,3.666667,77,127,1.589568,1,1,2befe3dcb10c2ad0
