@RELATION touch 

@ATTRIBUTE pressure		REAL
@ATTRIBUTE size		 	REAL
@ATTRIBUTE touchmajor	REAL
@ATTRIBUTE touchminor	REAL
@ATTRIBUTE duration		REAL
@ATTRIBUTE flytime		REAL
@ATTRIBUTE shake		REAL
@ATTRIBUTE orientation	INTEGER
@ATTRIBUTE type 		INTEGER
@ATTRIBUTE class 	{e6c172ca6be05a41,Others}

@DATA
0.44705886,0.028235296,7.2,7.2,91,0,5.5509243,1,1,e6c172ca6be05a41
0.3721133,0.026143791,6.6666665,6.6666665,107,102,52.804947,1,1,e6c172ca6be05a41
0.4666667,0.027450982,7.0,7.0,87,1215,62.838802,1,1,e6c172ca6be05a41
0.49607846,0.03137255,8.0,8.0,89,211,50.24894,1,1,e6c172ca6be05a41
0.49738565,0.037254903,9.5,9.5,89,1167,107.77601,1,1,e6c172ca6be05a41
0.49542487,0.028758174,7.3333335,7.3333335,115,132,39.988304,1,1,e6c172ca6be05a41
0.4960785,0.027450982,7.0,7.0,70,1267,51.917564,1,1,e6c172ca6be05a41
0.4960785,0.024509806,6.25,6.25,89,285,54.37346,1,1,e6c172ca6be05a41
0.30065358,0.027886711,7.111111,7.111111,117,292,50.489643,1,1,e6c172ca6be05a41
0.4300654,0.026143795,6.6666665,6.6666665,45,328,40.861015,1,1,e6c172ca6be05a41
0.4637255,0.025490198,6.5,6.5,90,957,28.019032,1,1,e6c172ca6be05a41
0.30751637,0.01633987,4.1666665,4.1666665,173,0,77.6764,1,1,e6c172ca6be05a41
0.49150333,0.03267974,8.333333,8.333333,99,1465,37.197617,1,1,e6c172ca6be05a41
0.49542487,0.03137255,8.0,8.0,80,28,94.18261,1,1,e6c172ca6be05a41
0.42980394,0.022745099,5.8,5.8,53,1231,6.730089,1,1,e6c172ca6be05a41
0.47647065,0.030392159,7.75,7.75,80,948,17.477262,1,1,e6c172ca6be05a41
0.4960785,0.028431375,7.25,7.25,99,247,10.680491,1,1,e6c172ca6be05a41
0.48392162,0.027450982,7.0,7.0,108,793,96.12462,1,1,e6c172ca6be05a41
0.46039218,0.024313727,6.2,6.2,71,421,26.151022,1,1,e6c172ca6be05a41
0.4901961,0.03398693,8.666667,8.666667,107,84,75.57423,1,1,e6c172ca6be05a41
0.49705887,0.029411767,7.5,7.5,117,766,43.215794,1,1,e6c172ca6be05a41
0.4960785,0.03137255,8.0,8.0,98,110,163.12051,1,1,e6c172ca6be05a41
0.40958607,0.038344227,9.777778,9.777778,131,0,79.61844,1,1,e6c172ca6be05a41
0.48627457,0.037254903,9.5,9.5,106,822,113.44947,1,1,e6c172ca6be05a41
0.49542487,0.03398693,8.666667,8.666667,71,349,12.712257,1,1,e6c172ca6be05a41
0.4960785,0.03137255,8.0,8.0,90,1001,92.2407,1,1,e6c172ca6be05a41
0.47450984,0.022222223,5.6666665,5.6666665,35,557,1.6344389,1,1,e6c172ca6be05a41
0.48823535,0.02647059,6.75,6.75,82,830,17.477167,1,1,e6c172ca6be05a41
0.49705887,0.037254903,9.5,9.5,144,200,99.037476,1,1,e6c172ca6be05a41
0.4960785,0.02647059,6.75,6.75,81,366,16.506214,1,1,e6c172ca6be05a41
0.49705887,0.036764707,9.375,9.375,89,675,86.41503,1,1,e6c172ca6be05a41
0.4967321,0.035947714,9.166667,9.166667,117,166,40.86106,1,1,e6c172ca6be05a41
0.49607846,0.039215688,10.0,10.0,65,272,21.792562,1,1,e6c172ca6be05a41
0.43725494,0.027450982,7.0,7.0,125,0,152.4563,1,1,e6c172ca6be05a41
0.48549023,0.034509804,8.8,8.8,90,157,152.8684,1,1,e6c172ca6be05a41
0.49725494,0.03137255,8.0,8.0,89,876,17.161608,1,1,e6c172ca6be05a41
0.49542487,0.026143795,6.6666665,6.6666665,116,1148,80.236206,1,1,e6c172ca6be05a41
0.49542487,0.03267974,8.333333,8.333333,115,77,91.76867,1,1,e6c172ca6be05a41
0.3344538,0.029691877,7.571429,7.571429,79,822,3.2688777,1,1,e6c172ca6be05a41
0.4379085,0.030065363,7.6666665,7.6666665,69,713,100.74091,1,1,e6c172ca6be05a41
0.49647063,0.026666667,6.8,6.8,144,112,32.077816,1,1,e6c172ca6be05a41
0.49542487,0.03398693,8.666667,8.666667,67,232,134.51598,1,1,e6c172ca6be05a41
0.4967321,0.04248366,10.833333,10.833333,109,156,40.54675,1,1,e6c172ca6be05a41
0.49725494,0.039215688,10.0,10.0,109,0,2.9129558,1,1,e6c172ca6be05a41
0.4967321,0.032026146,8.166667,8.166667,99,247,14.959271,1,1,e6c172ca6be05a41
0.4967321,0.03398693,8.666667,8.666667,91,328,97.19099,1,1,e6c172ca6be05a41
0.49647063,0.03137255,8.0,8.0,97,839,136.90482,1,1,e6c172ca6be05a41
0.49542487,0.026143795,6.6666665,6.6666665,73,92,81.56021,1,1,e6c172ca6be05a41
0.49705887,0.03137255,8.0,8.0,82,192,59.73144,1,1,e6c172ca6be05a41
0.49705887,0.038235296,9.75,9.75,63,382,65.927025,1,1,e6c172ca6be05a41
0.49542487,0.03529412,9.0,9.0,88,1814,33.012474,1,1,e6c172ca6be05a41
0.46078432,0.033333335,8.5,8.5,109,219,8.738584,1,1,e6c172ca6be05a41
0.4810458,0.03660131,9.333333,9.333333,68,324,20.504778,1,1,e6c172ca6be05a41
0.49691883,0.035854343,9.142858,9.142858,117,957,47.398804,1,1,e6c172ca6be05a41
0.49725494,0.036862746,9.4,9.4,99,428,5.720496,1,1,e6c172ca6be05a41
0.49747902,0.03977591,10.142858,10.142858,116,349,60.474358,1,1,e6c172ca6be05a41
0.49647063,0.032941177,8.4,8.4,127,656,6.8220887,1,1,e6c172ca6be05a41
0.4967321,0.03267974,8.333333,8.333333,82,18,13.593352,1,1,e6c172ca6be05a41
0.40653598,0.033333335,8.5,8.5,80,0,12.258248,1,2,e6c172ca6be05a41
0.4836602,0.039215688,10.0,10.0,127,729,206.81345,1,2,e6c172ca6be05a41
0.49647063,0.03529412,9.0,9.0,90,137,62.141228,1,2,e6c172ca6be05a41
0.49647063,0.02901961,7.4,7.4,81,92,15.233651,1,2,e6c172ca6be05a41
0.4960785,0.03137255,8.0,8.0,99,647,3.5339646,1,2,e6c172ca6be05a41
0.4960785,0.04313726,11.0,11.0,84,290,73.75244,1,2,e6c172ca6be05a41
0.48562095,0.029411765,7.5,7.5,82,137,10.680445,1,2,e6c172ca6be05a41
0.46928108,0.027450984,7.0,7.0,55,63,46.605827,1,2,e6c172ca6be05a41
0.49705887,0.03529412,9.0,9.0,71,0,22.882223,1,2,e6c172ca6be05a41
0.49647063,0.034509804,8.8,8.8,80,174,23.503618,1,2,e6c172ca6be05a41
0.4960785,0.038235296,9.75,9.75,71,757,66.90524,1,2,e6c172ca6be05a41
0.4967321,0.03660131,9.333333,9.333333,71,730,133.02095,1,2,e6c172ca6be05a41
0.4967321,0.03660131,9.333333,9.333333,62,257,93.483925,1,2,e6c172ca6be05a41
0.49542487,0.03660131,9.333333,9.333333,118,1512,72.3598,1,2,e6c172ca6be05a41
0.49647063,0.03529412,9.0,9.0,62,19,121.14104,1,2,e6c172ca6be05a41
0.4960785,0.032352943,8.25,8.25,100,65,22.693113,1,2,e6c172ca6be05a41
0.49705887,0.027450982,7.0,7.0,87,0,9.380299,1,2,e6c172ca6be05a41
0.49738565,0.03529412,9.0,9.0,87,77,51.32448,1,2,e6c172ca6be05a41
0.47189546,0.03398693,8.666667,8.666667,72,628,46.605923,1,2,e6c172ca6be05a41
0.48758173,0.0379085,9.666667,9.666667,89,130,24.96234,1,2,e6c172ca6be05a41
0.4967321,0.03660131,9.333333,9.333333,106,2414,12.156983,1,2,e6c172ca6be05a41
0.48683473,0.03529412,9.0,9.0,107,585,5.768607,1,2,e6c172ca6be05a41
0.49411768,0.03529412,9.0,9.0,89,739,159.35806,1,2,e6c172ca6be05a41
0.49542487,0.03660131,9.333333,9.333333,53,120,107.7761,1,2,e6c172ca6be05a41
0.49705887,0.034313727,8.75,8.75,100,0,11.207581,1,1,e6c172ca6be05a41
0.49647063,0.033725493,8.6,8.6,82,128,109.90213,1,1,e6c172ca6be05a41
0.4967321,0.032026146,8.166667,8.166667,79,329,17.161608,1,1,e6c172ca6be05a41
0.4967321,0.033333335,8.5,8.5,58,1070,16.506308,1,1,e6c172ca6be05a41
0.49647063,0.03137255,8.0,8.0,81,293,28.133823,1,1,e6c172ca6be05a41
0.49647063,0.032156862,8.2,8.2,90,1148,13.410861,1,1,e6c172ca6be05a41
0.4960785,0.038235296,9.75,9.75,98,301,15.436455,1,1,e6c172ca6be05a41
0.49542487,0.0379085,9.666667,9.666667,117,139,15.233697,1,1,e6c172ca6be05a41
0.49705887,0.03627451,9.25,9.25,69,94,52.805088,1,1,e6c172ca6be05a41
0.4967321,0.03267974,8.333333,8.333333,62,0,76.986786,1,1,e6c172ca6be05a41
0.49411768,0.027450982,7.0,7.0,26,201,18.448122,1,1,e6c172ca6be05a41
0.4960785,0.038562093,9.833333,9.833333,98,1013,1.6209311,1,1,e6c172ca6be05a41
0.4960785,0.034313727,8.75,8.75,62,92,24.314045,1,1,e6c172ca6be05a41
0.4967321,0.040522877,10.333333,10.333333,99,74,52.431553,1,1,e6c172ca6be05a41
0.49803925,0.03529412,9.0,9.0,72,966,59.657177,1,1,e6c172ca6be05a41
