@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {fb58815420addb16,Others}

@data
0.179832,0.083987,128.57143,113.14286,112,0,6.091469,1,1,fb58815420addb16
0.17451,0.076876,126,95.25,92,89,38.525665,1,1,fb58815420addb16
0.171989,0.067309,115.71429,78,91,69,61.253864,1,1,fb58815420addb16
0.163834,0.063933,113.333336,70.666664,108,190,18.260117,1,1,fb58815420addb16
0.162092,0.05212,95,55,56,232,11.770884,1,1,fb58815420addb16
0.169935,0.063238,103,79,63,158,40.138092,1,1,fb58815420addb16
0.181513,0.078924,121.71429,105.42857,76,27,45.634216,1,1,fb58815420addb16
0.173109,0.065522,105.42857,83.14286,98,0,2.863957,1,1,fb58815420addb16
0.177124,0.087561,145,107,64,1134,35.087322,1,1,fb58815420addb16
0.175163,0.066018,105,85,70,795,25.398586,1,1,fb58815420addb16
0.171429,0.085178,142.28572,102.85714,74,106,134.47316,1,1,fb58815420addb16
0.168627,0.054465,86.25,70.5,88,1408,17.59847,1,1,fb58815420addb16
0.170098,0.07427,135,78.75,90,164,46.247173,1,1,fb58815420addb16
0.173039,0.09147,150.75,112.5,92,95,169.57307,1,1,fb58815420addb16
0.172549,0.071478,112.28571,93.42857,83,104,169.75278,1,1,fb58815420addb16
0.159314,0.064368,109.5,75.75,102,25,24.151346,1,1,fb58815420addb16
0.164706,0.071404,130.5,75,45,108,46.824226,1,1,fb58815420addb16
0.164706,0.069632,110.4,90,45,125,129.66496,1,1,fb58815420addb16
0.164146,0.076839,127.71429,93.42857,94,0,8.047696,1,1,fb58815420addb16
0.156078,0.060876,108,67.2,38,192,39.626812,1,1,fb58815420addb16
0.154367,0.065386,109.63636,78.545456,121,194,23.0062,1,1,fb58815420addb16
0.166387,0.067309,114,79.71429,69,178,90.6954,1,1,fb58815420addb16
0.167157,0.053944,86.25,69,100,45,9.777069,1,1,fb58815420addb16
0.167507,0.0685,122.57143,74.57143,94,34,120.71754,1,1,fb58815420addb16
0.176471,0.066415,101.14286,90,78,42,74.64241,1,1,fb58815420addb16
0.169935,0.054204,105,51,70,913,10.773976,1,1,fb58815420addb16
0.171078,0.072707,132.75,76.5,86,153,23.734715,1,1,fb58815420addb16
0.170308,0.066117,119.14286,71.14286,82,96,21.849695,1,1,fb58815420addb16
0.161905,0.059863,100.28571,72,75,70,2.639253,1,1,fb58815420addb16
0.163137,0.054621,88.8,68.4,55,88,10.194684,1,1,fb58815420addb16
0.17535,0.081604,137.14285,97.71429,81,582,9.619558,1,1,fb58815420addb16
0.170833,0.067364,111,82.875,168,156,6.034045,1,1,fb58815420addb16
0.162465,0.055991,97.71429,63.42857,77,105,56.608814,1,1,fb58815420addb16
0.165686,0.057853,100.5,66,103,23,6.289725,1,1,fb58815420addb16
0.17479,0.080115,137.14285,93.42857,79,90,58.74762,1,1,fb58815420addb16
0.178151,0.067606,102.85714,91.71429,82,131,93.893295,1,1,fb58815420addb16
0.169118,0.06958,114,86.25,118,0,43.996178,1,2,fb58815420addb16
0.164706,0.068537,115.5,81.75,97,202,25.988195,1,2,fb58815420addb16
0.169748,0.058672,89.14286,79.71429,96,1364,62.25055,1,2,fb58815420addb16
0.162745,0.05212,90,60,59,25,62.25055,1,2,fb58815420addb16
0.17451,0.066974,107.25,85.5,102,1485,82.46658,1,2,fb58815420addb16
0.175817,0.071925,119,88,91,131,71.82566,1,2,fb58815420addb16
